,id_nuts,area,lat,lon
402,DE402,0.009,51.7592,14.4062
403,DE403,0.007,52.34701,14.51967
404,DE404,0.014,52.45229,13.07104
405,DE405,0.2,52.80623,13.72649
406,DE406,0.266,52.02548,13.82626
407,DE407,0.284,51.60613,13.45011
408,DE408,0.206,52.60428,12.61951
409,DE409,0.29,52.59089,14.13979
410,DE40A,0.299,52.89662,13.17647
411,DE40B,0.119,51.61069,13.96306
412,DE40C,0.305,52.23088,14.20624
413,DE40D,0.309,52.98781,12.60249
414,DE40E,0.329,52.25653,12.7023
415,DE40F,0.258,53.10395,11.98324
416,DE40G,0.25,51.77192,14.43338
417,DE40H,0.299,52.06826,13.2766
418,DE40I,0.397,53.20661,13.83361
419,DE501,0.047,53.10951,8.78305
420,DE502,0.014,53.55371,8.58035
421,DE600,0.075,53.55598,10.01454
422,DE711,0.003,49.91455,8.66526
423,DE712,0.031,50.1187,8.66068
424,DE713,0.001,50.11088,8.77215
425,DE714,0.012,50.05661,8.27832
426,DE715,0.089,49.62594,8.65328
427,DE716,0.086,49.86181,8.80432
428,DE717,0.068,49.90373,8.48092
429,DE718,0.055,50.26983,8.50975
430,DE719,0.218,50.24495,9.27508
431,DE71A,0.033,50.1101,8.43166
432,DE71B,0.084,49.66306,8.98268
433,DE71C,0.046,50.02836,8.81154
434,DE71D,0.088,50.15569,8.12089
435,DE71E,0.122,50.36195,8.87875
436,DEA57,0.275,51.3148,8.35499
437,DEA58,0.115,51.2727,7.71748
438,DEA59,0.083,51.07955,7.94212
439,DEA5A,0.16,50.92232,8.19157
440,DEA5B,0.163,51.58477,8.18938
441,DEA5C,0.096,51.55709,7.6236
442,DEB11,0.002,50.34515,7.6528
443,DEB12,0.089,50.48502,7.0699
444,DEB13,0.095,50.75744,7.76539
445,DEB14,0.113,49.82019,7.68751
446,DEB15,0.099,49.71707,7.27287
447,DEB16,0.067,50.12746,7.16547
448,DEB17,0.137,50.33084,7.36544
449,DEB18,0.078,50.5819,7.46228
450,DEB19,0.132,50.03869,7.48775
451,DEB1A,0.097,50.26088,7.8488
452,DEB1B,0.12,50.53195,7.87273
453,DEB21,0.01,49.76944,6.65421
454,DEB22,0.137,49.92434,6.9568
455,DEB23,0.164,50.06708,6.45561
456,DEB24,0.122,50.23428,6.78506
457,DEB25,0.13,49.70761,6.68931
458,DEB31,0.002,49.53372,8.38511
459,DEB32,0.001,49.38496,7.77199
460,DEB33,0.003,49.20061,8.10093
461,DEB34,0.007,49.4892,8.40246
462,DEB35,0.002,49.99031,8.27377
463,DEB36,0.0,49.32112,8.21047
464,DEB37,0.005,49.19723,7.60786
465,DEB38,0.001,49.30457,8.47506
466,DEB39,0.011,49.63729,8.37045
467,DEB3A,0.005,49.24268,7.37945
468,DEB3B,0.08,49.73203,8.18582
469,DEB3C,0.097,49.44259,8.11303
470,DEB3D,0.067,49.62068,7.91244
471,DEB3E,0.052,49.11452,8.25879
472,DEB3F,0.082,49.44219,7.70203
473,DEB3G,0.083,49.54542,7.46689
474,DEB3H,0.095,49.19549,8.05841
475,DEB3I,0.042,49.41189,8.37917
476,DEB3J,0.112,49.93653,8.07106
477,DEB3K,0.128,49.20476,7.64924
478,DEF01,0.002,54.80845,9.42403
479,DEF02,0.002,54.3447,10.15537
480,DEF03,0.035,53.88934,10.72886
481,DEF04,0.004,54.06923,10.0117
482,DEF05,0.164,54.12846,9.12418
483,DEF06,0.182,53.58862,10.59841
484,DEF07,0.299,54.61855,8.93641
485,DEF08,0.162,54.15131,10.76787
486,DEF09,0.078,53.71118,9.72502
487,DEF0A,0.123,54.20668,10.32641
488,DEF0B,0.345,54.28814,9.78269
489,DEF0C,0.245,54.60784,9.48247
490,DEF0D,0.2,53.90451,10.12851
491,DEF0E,0.135,53.9138,9.50081
492,DEF0F,0.096,53.72091,10.3357
493,DEG01,0.029,50.96863,11.01484
494,DEG02,0.002,50.95863,12.06852
495,DEG03,0.007,50.92653,11.57136
496,DEG04,0.01,50.60996,10.71439
497,DEG05,0.007,50.96847,11.31206
498,DEG06,0.123,51.38624,10.26939
499,DEG07,0.1,51.50761,10.72182
500,DEG09,0.132,51.18097,10.56938
501,DEG0A,0.134,51.31639,10.99835
502,DEG0B,0.176,50.62714,10.38506
503,DEG0C,0.112,50.90636,10.70333
504,DEG0D,0.103,51.12814,11.15902
505,DEG0E,0.128,50.42725,10.71264
506,DEG0F,0.104,50.73909,10.97082
507,DEG0G,0.094,50.95653,11.37025
508,DEG0H,0.05,50.41407,11.107
509,DEG0I,0.143,50.6269,11.30037
510,DEG0J,0.115,50.90374,11.72868
511,DEG0K,0.145,50.58281,11.71813
512,DEG0L,0.111,50.77531,12.08512
513,DEG0M,0.066,50.9511,12.39762
